,Abstract,Title,Generated Title
0,"In this paper, a sparse Markov decision process (MDP) with novel causal
sparse Tsallis entropy regularization is proposed.The proposed policy
regularization induces a sparse and multi-modal optimal policy distribution of
a sparse MDP. The full mathematical analysis of the proposed sparse MDP is
provided.We first analyze the optimality condition of a sparse MDP. Then, we
propose a sparse value iteration method which solves a sparse MDP and then
prove the convergence and optimality of sparse value iteration using the Banach
fixed point theorem. The proposed sparse MDP is compared to soft MDPs which
utilize causal entropy regularization. We show that the performance error of a
sparse MDP has a constant bound, while the error of a soft MDP increases
logarithmically with respect to the number of actions, where this performance
error is caused by the introduced regularization term. In experiments, we apply
sparse MDPs to reinforcement learning problems. The proposed method outperforms
existing methods in terms of the convergence speed and performance.","Sparse Markov Decision Processes with Causal Sparse Tsallis Entropy
  Regularization for Reinforcement Learning",<unk> rank
1,"Roguelike games generally feature exploration problems as a critical, yet
often repetitive element of gameplay. Automated approaches, however, face
challenges in terms of optimality, as well as due to incomplete information,
such as from the presence of secret doors. This paper presents an algorithmic
approach to exploration of roguelike dungeon environments. Our design aims to
minimize exploration time, balancing coverage and discovery of secret areas
with resource cost. Our algorithm is based on the concept of occupancy maps
popular in robotics, adapted to encourage efficient discovery of secret access
points. Through extensive experimentation on NetHack maps we show that this
technique is significantly more efficient than simpler greedy approaches. We
further investigate optimized parameterization for the algorithm through a
comprehensive data analysis. These results point towards better automation for
players as well as heuristics applicable to fully automated gameplay.",Exploration in NetHack with Secret Discovery,programming using noisy show step
2,"Deep learning has achieved substantial success in a series of tasks in
computer vision. Intelligent video analysis, which can be broadly applied to
video surveillance in various smart city applications, can also be driven by
such powerful deep learning engines. To practically facilitate deep neural
network models in the large-scale video analysis, there are still unprecedented
challenges for the large-scale video data management. Deep feature coding,
instead of video coding, provides a practical solution for handling the
large-scale video surveillance data. To enable interoperability in the context
of deep feature coding, standardization is urgent and important. However, due
to the explosion of deep learning algorithms and the particularity of feature
coding, there are numerous remaining problems in the standardization process.
This paper envisions the future deep feature coding standard for the AI
oriented large-scale video management, and discusses existing techniques,
standards and possible solutions for these open problems.","AI Oriented Large-Scale Video Management for Smart City: Technologies,
  Standards and Beyond",mechanism video direction discrete
3,"Quorum sensing is a decentralized biological process, through which a
community of cells with no global awareness coordinate their functional
behaviors based solely on cell-medium interactions and local decisions. This
paper draws inspirations from quorum sensing and colony competition to derive a
new algorithm for data clustering. The algorithm treats each data as a single
cell, and uses knowledge of local connectivity to cluster cells into multiple
colonies simultaneously. It simulates auto-inducers secretion in quorum sensing
to tune the influence radius for each cell. At the same time, sparsely
distributed core cells spread their influences to form colonies, and
interactions between colonies eventually determine each cell's identity. The
algorithm has the flexibility to analyze not only static but also time-varying
data, which surpasses the capacity of many existing algorithms. Its stability
and convergence properties are established. The algorithm is tested on several
applications, including both synthetic and real benchmarks data sets, alleles
clustering, community detection, image segmentation. In particular, the
algorithm's distinctive capability to deal with time-varying data allows us to
experiment it on novel applications such as robotic swarms grouping and
switching model identification. We believe that the algorithm's promising
performance would stimulate many more exciting applications.",A Quorum Sensing Inspired Algorithm for Dynamic Clustering,involves context  modelling proposed <unk>
4,"A compact information-rich representation of the environment, also called a
feature abstraction, can simplify a robot's task of mapping its raw sensory
inputs to useful action sequences. However, in environments that are
non-stationary and only partially observable, a single abstraction is probably
not sufficient to encode most variations. Therefore, learning multiple sets of
spatially or temporally local, modular abstractions of the inputs would be
beneficial. How can a robot learn these local abstractions without a teacher?
More specifically, how can it decide from where and when to start learning a
new abstraction? A recently proposed algorithm called Curious Dr. MISFA
addresses this problem. The algorithm is based on two underlying learning
principles called artificial curiosity and slowness. The former is used to make
the robot self-motivated to explore by rewarding itself whenever it makes
progress learning an abstraction; the later is used to update the abstraction
by extracting slowly varying components from raw sensory inputs. Curious Dr.
MISFA's application is, however, limited to discrete domains constrained by a
pre-defined state space and has design limitations that make it unstable in
certain situations. This paper presents a significant improvement that is
applicable to continuous environments, is computationally less expensive,
simpler to use with fewer hyper parameters, and stable in certain
non-stationary environments. We demonstrate the efficacy and stability of our
method in a vision-based robot simulator.","Intrinsically Motivated Acquisition of Modular Slow Features for
  Humanoids in Continuous and Non-Stationary Environments",data researchers <unk> show underdetermined set limited
5,"Since many real-world concepts are associated with colour, for example danger
with red, linguistic information is often complimented with the use of
appropriate colours in information visualization and product marketing. Yet,
there is no comprehensive resource that captures concept-colour associations.
We present a method to create a large word-colour association lexicon by
crowdsourcing. We focus especially on abstract concepts and emotions to show
that even though they cannot be physically visualized, they too tend to have
strong colour associations. Finally, we show how word-colour associations
manifest themselves in language, and quantify usefulness of co-occurrence and
polarity cues in automatically detecting colour associations.",Colourful Language: Measuring Word-Colour Associations,significant both we cross correlation data around
6,"Reordering is a challenge to machine translation (MT) systems. In MT, the
widely used approach is to apply word based language model (LM) which considers
the constituent units of a sentence as words. In speech recognition (SR), some
phrase based LM have been proposed. However, those LMs are not necessarily
suitable or optimal for reordering. We propose two phrase based LMs which
considers the constituent units of a sentence as phrases. Experiments show that
our phrase based LMs outperform the word based LM with the respect of
perplexity and n-best list re-ranking.","Phrase Based Language Model for Statistical Machine Translation:
  Empirical Study",method pour example proposed <unk> operator for
7,"Obstacle Detection is a central problem for any robotic system, and critical
for autonomous systems that travel at high speeds in unpredictable environment.
This is often achieved through scene depth estimation, by various means. When
fast motion is considered, the detection range must be longer enough to allow
for safe avoidance and path planning. Current solutions often make assumption
on the motion of the vehicle that limit their applicability, or work at very
limited ranges due to intrinsic constraints. We propose a novel
appearance-based Object Detection system that is able to detect obstacles at
very long range and at a very high speed (~300Hz), without making assumptions
on the type of motion. We achieve these results using a Deep Neural Network
approach trained on real and synthetic images and trading some depth accuracy
for fast, robust and consistent operation. We show how photo-realistic
synthetic images are able to solve the problem of training set dimension and
variety typical of machine learning approaches, and how our system is robust to
massive blurring of test images.","Fast Robust Monocular Depth Estimation for Obstacle Detection with Fully
  Convolutional Networks",using <unk>
8,"Proof nets are a graph theoretical representation of proofs in various
fragments of type-logical grammar. In spite of this basis in graph theory,
there has been relatively little attention to the use of graph theoretic
algorithms for type-logical proof search. In this paper we will look at several
ways in which standard graph theoretic algorithms can be used to restrict the
search space. In particular, we will provide an O(n4) algorithm for selecting
an optimal axiom link at any stage in the proof search as well as a O(kn3)
algorithm for selecting the k best proof candidates.",Graph Algorithms for Improving Type-Logical Proof Search,offers noisy show preferences
9,"We create and release the first publicly available commercial customer
service corpus with annotated relational segments. Human-computer data from
three live customer service Intelligent Virtual Agents (IVAs) in the domains of
travel and telecommunications were collected, and reviewers marked all text
that was deemed unnecessary to the determination of user intention. After
merging the selections of multiple reviewers to create highlighted texts, a
second round of annotation was done to determine the classes of language
present in the highlighted sections such as the presence of Greetings,
Backstory, Justification, Gratitude, Rants, or Emotions. This resulting corpus
is a valuable resource for improving the quality and relational abilities of
IVAs. As well as discussing the corpus itself, we compare the usage of such
language in human-human interactions on TripAdvisor forums. We show that
removal of this language from task-based inputs has a positive effect on IVA
understanding by both an increase in confidence and improvement in responses,
demonstrating the need for automated methods of its discovery.",An Annotated Corpus of Relational Strategies in Customer Service,produces <unk> two show for  for
